sample	type	group	mut_ct
MPX000915-NYC-VH00422-221209	NON-APOBEC	Outbreak NYC	10
MPX000916-NYC-VH00422-221209	APOBEC3	Outbreak NYC	57
MPX000916-NYC-VH00422-221209	NON-APOBEC	Outbreak NYC	11
MPX000917-NYC-VH00422-221209	APOBEC3	Outbreak NYC	56
MPX000917-NYC-VH00422-221209	NON-APOBEC	Outbreak NYC	9
MPX000918-NYC-VH00422-221209	APOBEC3	Outbreak NYC	58
MPX000918-NYC-VH00422-221209	NON-APOBEC	Outbreak NYC	11
MPX000919-NYC-VH00422-221209	APOBEC3	Outbreak NYC	54
MPX000919-NYC-VH00422-221209	NON-APOBEC	Outbreak NYC	10
MPX000920-NYC-VH00422-221209	APOBEC3	Outbreak NYC	53
MPX000920-NYC-VH00422-221209	NON-APOBEC	Outbreak NYC	9
MPX000921-NYC-VH00422-221209	APOBEC3	Outbreak NYC	58
MPX000921-NYC-VH00422-221209	NON-APOBEC	Outbreak NYC	10
MPX000922-NYC-VH00422-221209	APOBEC3	Outbreak NYC	59
MPX000922-NYC-VH00422-221209	NON-APOBEC	Outbreak NYC	11
MPX000923-NYC-VH00422-221209	APOBEC3	Outbreak NYC	57
MPX000923-NYC-VH00422-221209	NON-APOBEC	Outbreak NYC	10
MPX000924-NYC-VH00422-221209	APOBEC3	Outbreak NYC	57
MPX000924-NYC-VH00422-221209	NON-APOBEC	Outbreak NYC	10
MPX000925-NYC-VH00422-221209	APOBEC3	Outbreak NYC	55
MPX000925-NYC-VH00422-221209	NON-APOBEC	Outbreak NYC	10
MPX000926-NYC-VH00422-221209	APOBEC3	Outbreak NYC	56
MPX000926-NYC-VH00422-221209	NON-APOBEC	Outbreak NYC	9
MPX000927-NYC-VH00422-221209	APOBEC3	Outbreak NYC	55
MPX000927-NYC-VH00422-221209	NON-APOBEC	Outbreak NYC	9
MPX000928-NYC-VH00422-221209	APOBEC3	Outbreak NYC	53
MPX000928-NYC-VH00422-221209	NON-APOBEC	Outbreak NYC	10
MPX000929-NYC-VH00422-221209	APOBEC3	Outbreak NYC	55
MPX000929-NYC-VH00422-221209	NON-APOBEC	Outbreak NYC	9
MPX000930-NYC-VH00422-221209	APOBEC3	Outbreak NYC	56
MPX000930-NYC-VH00422-221209	NON-APOBEC	Outbreak NYC	9
MPX000931-NYC-VH00422-221209	APOBEC3	Outbreak NYC	53
MPX000931-NYC-VH00422-221209	NON-APOBEC	Outbreak NYC	9
MPX000932-NYC-VH00422-221209	APOBEC3	Outbreak NYC	53
MPX000932-NYC-VH00422-221209	NON-APOBEC	Outbreak NYC	9
MPX000933-NYC-VH00422-221209	APOBEC3	Outbreak NYC	54
MPX000933-NYC-VH00422-221209	NON-APOBEC	Outbreak NYC	11
MPX000934-NYC-VH00422-221209	APOBEC3	Outbreak NYC	54
MPX000934-NYC-VH00422-221209	NON-APOBEC	Outbreak NYC	11
MPX000935-NYC-VH00422-221209	APOBEC3	Outbreak NYC	54
MPX000935-NYC-VH00422-221209	NON-APOBEC	Outbreak NYC	10
MPX000936-NYC-VH00422-221209	APOBEC3	Outbreak NYC	54
MPX000936-NYC-VH00422-221209	NON-APOBEC	Outbreak NYC	10
MPX000937-NYC-VH00422-221209	APOBEC3	Outbreak NYC	55
MPX000937-NYC-VH00422-221209	NON-APOBEC	Outbreak NYC	9
MPX000938-NYC-VH00422-221209	APOBEC3	Outbreak NYC	54
MPX000938-NYC-VH00422-221209	NON-APOBEC	Outbreak NYC	9
MPX000939-NYC-VH00422-221209	APOBEC3	Outbreak NYC	64
MPX000939-NYC-VH00422-221209	NON-APOBEC	Outbreak NYC	11
MPX000940-NYC-VH00422-221209	APOBEC3	Outbreak NYC	54
MPX000940-NYC-VH00422-221209	NON-APOBEC	Outbreak NYC	9
MPX000941-NYC-VH00422-221209	APOBEC3	Outbreak NYC	55
MPX000941-NYC-VH00422-221209	NON-APOBEC	Outbreak NYC	10
MPX000942-NYC-VH00422-221209	APOBEC3	Outbreak NYC	54
MPX000942-NYC-VH00422-221209	NON-APOBEC	Outbreak NYC	10
MPX000943-NYC-VH00422-221209	APOBEC3	Outbreak NYC	56
MPX000943-NYC-VH00422-221209	NON-APOBEC	Outbreak NYC	10
MPX000944-NYC-VH00422-221209	APOBEC3	Outbreak NYC	56
MPX000944-NYC-VH00422-221209	NON-APOBEC	Outbreak NYC	10
MPX000945-NYC-VH00422-221209	APOBEC3	Outbreak NYC	56
MPX000945-NYC-VH00422-221209	NON-APOBEC	Outbreak NYC	10
MPX000946-NYC-VH00422-221209	APOBEC3	Outbreak NYC	57
MPX000946-NYC-VH00422-221209	NON-APOBEC	Outbreak NYC	10
MPX000947-NYC-VH00422-221209	APOBEC3	Outbreak NYC	60
MPX000947-NYC-VH00422-221209	NON-APOBEC	Outbreak NYC	10
MPX000948-NYC-VH00422-221209	APOBEC3	Outbreak NYC	60
MPX000948-NYC-VH00422-221209	NON-APOBEC	Outbreak NYC	10
MPX000949-NYC-VH00422-221209	APOBEC3	Outbreak NYC	59
MPX000949-NYC-VH00422-221209	NON-APOBEC	Outbreak NYC	10
MPX000950-NYC-VH00422-221209	APOBEC3	Outbreak NYC	54
MPX000950-NYC-VH00422-221209	NON-APOBEC	Outbreak NYC	10
MPX000951-NYC-VH00422-221209	APOBEC3	Outbreak NYC	53
MPX000951-NYC-VH00422-221209	NON-APOBEC	Outbreak NYC	8
MPX000953-NYC-VH00422-221209	APOBEC3	Outbreak NYC	57
MPX000953-NYC-VH00422-221209	NON-APOBEC	Outbreak NYC	9
MPX000954-NYC-VH00422-221209	APOBEC3	Outbreak NYC	58
MPX000954-NYC-VH00422-221209	NON-APOBEC	Outbreak NYC	10
MPX000955-NYC-VH00422-221209	APOBEC3	Outbreak NYC	58
MPX000955-NYC-VH00422-221209	NON-APOBEC	Outbreak NYC	10
MPX000956-NYC-VH00422-221209	APOBEC3	Outbreak NYC	56
MPX000956-NYC-VH00422-221209	NON-APOBEC	Outbreak NYC	9
MPX000957-NYC-VH00422-221209	APOBEC3	Outbreak NYC	56
MPX000957-NYC-VH00422-221209	NON-APOBEC	Outbreak NYC	10
MPX000958-NYC-VH00422-221209	APOBEC3	Outbreak NYC	56
MPX000958-NYC-VH00422-221209	NON-APOBEC	Outbreak NYC	9
MPX000959-NYC-VH00422-221209	APOBEC3	Outbreak NYC	58
MPX000959-NYC-VH00422-221209	NON-APOBEC	Outbreak NYC	9
MPX000960-NYC-VH00422-221209	APOBEC3	Outbreak NYC	53
MPX000960-NYC-VH00422-221209	NON-APOBEC	Outbreak NYC	9
MPX000961-NYC-VH00422-221209	APOBEC3	Outbreak NYC	53
MPX000961-NYC-VH00422-221209	NON-APOBEC	Outbreak NYC	10
MPX000962-NYC-VH00422-221209	APOBEC3	Outbreak NYC	54
MPX000962-NYC-VH00422-221209	NON-APOBEC	Outbreak NYC	10
MPX000963-NYC-VH00422-221209	APOBEC3	Outbreak NYC	57
MPX000963-NYC-VH00422-221209	NON-APOBEC	Outbreak NYC	9
MPX000964-NYC-VH00422-221209	APOBEC3	Outbreak NYC	57
MPX000964-NYC-VH00422-221209	NON-APOBEC	Outbreak NYC	9
MPX000965-NYC-VH00422-221209	APOBEC3	Outbreak NYC	58
MPX000965-NYC-VH00422-221209	NON-APOBEC	Outbreak NYC	12
MPX000966-NYC-VH00422-221209	APOBEC3	Outbreak NYC	55
MPX000966-NYC-VH00422-221209	NON-APOBEC	Outbreak NYC	10
MPX000967-NYC-VH00422-221209	APOBEC3	Outbreak NYC	58
MPX000967-NYC-VH00422-221209	NON-APOBEC	Outbreak NYC	11
MPX000968-NYC-VH00422-221209	APOBEC3	Outbreak NYC	58
MPX000968-NYC-VH00422-221209	NON-APOBEC	Outbreak NYC	10
MPX000969-NYC-VH00422-221209	APOBEC3	Outbreak NYC	55
MPX000969-NYC-VH00422-221209	NON-APOBEC	Outbreak NYC	9
MPX000970-NYC-VH00422-221209	APOBEC3	Outbreak NYC	59
MPX000970-NYC-VH00422-221209	NON-APOBEC	Outbreak NYC	10
MPX000971-NYC-VH00422-221209	APOBEC3	Outbreak NYC	55
MPX000971-NYC-VH00422-221209	NON-APOBEC	Outbreak NYC	9
MPX000972-NYC-VH00422-221209	APOBEC3	Outbreak NYC	55
MPX000972-NYC-VH00422-221209	NON-APOBEC	Outbreak NYC	9
MPX000973-NYC-VH00422-221209	APOBEC3	Outbreak NYC	56
MPX000973-NYC-VH00422-221209	NON-APOBEC	Outbreak NYC	10
MPX000974-NYC-VH00422-230123	APOBEC3	Outbreak NYC	51
MPX000974-NYC-VH00422-230123	NON-APOBEC	Outbreak NYC	7
MPX000975-NYC-VH00422-221209	APOBEC3	Outbreak NYC	57
MPX000975-NYC-VH00422-221209	NON-APOBEC	Outbreak NYC	9
MPX000976-NYC-VH00422-221209	APOBEC3	Outbreak NYC	52
MPX000976-NYC-VH00422-221209	NON-APOBEC	Outbreak NYC	10
MPX000977-NYC-VH00422-221209	APOBEC3	Outbreak NYC	54
MPX000977-NYC-VH00422-221209	NON-APOBEC	Outbreak NYC	10
MPX000978-NYC-VH00422-221209	APOBEC3	Outbreak NYC	57
MPX000978-NYC-VH00422-221209	NON-APOBEC	Outbreak NYC	11
MPX000979-NYC-VH00422-221209	APOBEC3	Outbreak NYC	57
MPX000979-NYC-VH00422-221209	NON-APOBEC	Outbreak NYC	11
MPX000980-NYC-VH00422-221209	APOBEC3	Outbreak NYC	54
MPX000980-NYC-VH00422-221209	NON-APOBEC	Outbreak NYC	10
MPX000981-NYC-VH00422-221209	APOBEC3	Outbreak NYC	56
MPX000981-NYC-VH00422-221209	NON-APOBEC	Outbreak NYC	9
MPX000982-NYC-VH00422-221209	APOBEC3	Outbreak NYC	56
MPX000982-NYC-VH00422-221209	NON-APOBEC	Outbreak NYC	9
MPX000983-NYC-VH00422-221209	APOBEC3	Outbreak NYC	55
MPX000983-NYC-VH00422-221209	NON-APOBEC	Outbreak NYC	11
MPX000984-NYC-VH00422-221209	APOBEC3	Outbreak NYC	55
MPX000984-NYC-VH00422-221209	NON-APOBEC	Outbreak NYC	10
MPX000985-NYC-VH00422-221209	APOBEC3	Outbreak NYC	56
MPX000985-NYC-VH00422-221209	NON-APOBEC	Outbreak NYC	9
MPX000986-NYC-VH00422-221209	APOBEC3	Outbreak NYC	58
MPX000986-NYC-VH00422-221209	NON-APOBEC	Outbreak NYC	10
MPX000987-NYC-VH00422-221209	APOBEC3	Outbreak NYC	58
MPX000987-NYC-VH00422-221209	NON-APOBEC	Outbreak NYC	10
MPX000988-NYC-VH00422-221209	APOBEC3	Outbreak NYC	54
MPX000988-NYC-VH00422-221209	NON-APOBEC	Outbreak NYC	9
MPX000989-NYC-VH00422-221209	APOBEC3	Outbreak NYC	62
MPX000989-NYC-VH00422-221209	NON-APOBEC	Outbreak NYC	10
MPX000990-NYC-VH00422-221209	APOBEC3	Outbreak NYC	61
MPX000990-NYC-VH00422-221209	NON-APOBEC	Outbreak NYC	10
MPX000991-NYC-VH00422-221209	APOBEC3	Outbreak NYC	60
MPX000991-NYC-VH00422-221209	NON-APOBEC	Outbreak NYC	11
MPX000992-NYC-VH00422-221209	APOBEC3	Outbreak NYC	60
MPX000992-NYC-VH00422-221209	NON-APOBEC	Outbreak NYC	11
MPX000993-NYC-VH00422-221209	APOBEC3	Outbreak NYC	57
MPX000993-NYC-VH00422-221209	NON-APOBEC	Outbreak NYC	11
MPX000994-NYC-VH00422-221209	APOBEC3	Outbreak NYC	57
MPX000994-NYC-VH00422-221209	NON-APOBEC	Outbreak NYC	11
MPX000995-NYC-VH00422-221209	APOBEC3	Outbreak NYC	55
MPX000995-NYC-VH00422-221209	NON-APOBEC	Outbreak NYC	10
MPX000996-NYC-VH00422-221209	APOBEC3	Outbreak NYC	59
MPX000996-NYC-VH00422-221209	NON-APOBEC	Outbreak NYC	10
MPX000997-NYC-VH00422-221209	APOBEC3	Outbreak NYC	52
MPX000997-NYC-VH00422-221209	NON-APOBEC	Outbreak NYC	9
MPX000998-NYC-VH00422-221209	APOBEC3	Outbreak NYC	53
MPX000998-NYC-VH00422-221209	NON-APOBEC	Outbreak NYC	10
MPX000999-NYC-VH00422-221214	APOBEC3	Outbreak NYC	58
MPX000999-NYC-VH00422-221214	NON-APOBEC	Outbreak NYC	9
MPX001000-NYC-VH00422-221214	APOBEC3	Outbreak NYC	56
MPX001000-NYC-VH00422-221214	NON-APOBEC	Outbreak NYC	9
MPX001001-NYC-VH00422-221214	APOBEC3	Outbreak NYC	57
MPX001001-NYC-VH00422-221214	NON-APOBEC	Outbreak NYC	9
MPX001002-NYC-VH00422-221214	APOBEC3	Outbreak NYC	58
MPX001002-NYC-VH00422-221214	NON-APOBEC	Outbreak NYC	11
MPX001003-NYC-VH00422-221214	APOBEC3	Outbreak NYC	58
MPX001003-NYC-VH00422-221214	NON-APOBEC	Outbreak NYC	10
MPX001004-NYC-VH00422-221214	APOBEC3	Outbreak NYC	61
MPX001004-NYC-VH00422-221214	NON-APOBEC	Outbreak NYC	10
MPX001005-NYC-VH00422-221214	APOBEC3	Outbreak NYC	57
MPX001005-NYC-VH00422-221214	NON-APOBEC	Outbreak NYC	10
MPX001006-NYC-VH00422-221214	APOBEC3	Outbreak NYC	54
MPX001006-NYC-VH00422-221214	NON-APOBEC	Outbreak NYC	9
MPX001007-NYC-VH00422-221214	APOBEC3	Outbreak NYC	54
MPX001007-NYC-VH00422-221214	NON-APOBEC	Outbreak NYC	9
MPX001008-NYC-VH00422-221214	APOBEC3	Outbreak NYC	54
MPX001008-NYC-VH00422-221214	NON-APOBEC	Outbreak NYC	9
MPX001009-NYC-VH00422-221214	APOBEC3	Outbreak NYC	59
MPX001009-NYC-VH00422-221214	NON-APOBEC	Outbreak NYC	9
MPX001010-NYC-VH00422-221214	APOBEC3	Outbreak NYC	55
MPX001010-NYC-VH00422-221214	NON-APOBEC	Outbreak NYC	9
MPX001011-NYC-VH00422-221214	APOBEC3	Outbreak NYC	56
MPX001011-NYC-VH00422-221214	NON-APOBEC	Outbreak NYC	11
MPX001012-NYC-VH00422-221214	APOBEC3	Outbreak NYC	56
MPX001012-NYC-VH00422-221214	NON-APOBEC	Outbreak NYC	10
MPX001013-NYC-VH00422-221214	APOBEC3	Outbreak NYC	59
MPX001013-NYC-VH00422-221214	NON-APOBEC	Outbreak NYC	9
MPX001014-NYC-VH00422-221214	APOBEC3	Outbreak NYC	59
MPX001014-NYC-VH00422-221214	NON-APOBEC	Outbreak NYC	9
MPX001015-NYC-VH00422-221214	APOBEC3	Outbreak NYC	55
MPX001015-NYC-VH00422-221214	NON-APOBEC	Outbreak NYC	10
MPX001016-NYC-VH00422-221214	APOBEC3	Outbreak NYC	57
MPX001016-NYC-VH00422-221214	NON-APOBEC	Outbreak NYC	10
MPX001017-NYC-VH00422-221214	APOBEC3	Outbreak NYC	54
MPX001017-NYC-VH00422-221214	NON-APOBEC	Outbreak NYC	9
MPX001018-NYC-VH00422-221214	APOBEC3	Outbreak NYC	56
MPX001018-NYC-VH00422-221214	NON-APOBEC	Outbreak NYC	9
MPX001019-NYC-VH00422-221214	APOBEC3	Outbreak NYC	54
MPX001019-NYC-VH00422-221214	NON-APOBEC	Outbreak NYC	10
MPX001020-NYC-VH00422-221214	APOBEC3	Outbreak NYC	56
MPX001020-NYC-VH00422-221214	NON-APOBEC	Outbreak NYC	9
MPX001021-NYC-VH00422-221214	APOBEC3	Outbreak NYC	55
MPX001021-NYC-VH00422-221214	NON-APOBEC	Outbreak NYC	9
MPX001022-NYC-VH00422-221214	APOBEC3	Outbreak NYC	53
MPX001022-NYC-VH00422-221214	NON-APOBEC	Outbreak NYC	10
MPX001023-NYC-VH00422-221214	APOBEC3	Outbreak NYC	54
MPX001023-NYC-VH00422-221214	NON-APOBEC	Outbreak NYC	10
MPX001025-NYC-VH00422-221214	APOBEC3	Outbreak NYC	54
MPX001025-NYC-VH00422-221214	NON-APOBEC	Outbreak NYC	10
MPX001026-NYC-VH00422-221214	APOBEC3	Outbreak NYC	54
MPX001026-NYC-VH00422-221214	NON-APOBEC	Outbreak NYC	10
MPX001027-NYC-VH00422-221214	APOBEC3	Outbreak NYC	55
MPX001027-NYC-VH00422-221214	NON-APOBEC	Outbreak NYC	10
MPX001028-NYC-VH00422-221214	APOBEC3	Outbreak NYC	54
MPX001028-NYC-VH00422-221214	NON-APOBEC	Outbreak NYC	10
MPX001029-NYC-VH00422-221214	APOBEC3	Outbreak NYC	57
MPX001029-NYC-VH00422-221214	NON-APOBEC	Outbreak NYC	10
MPX001030-NYC-VH00422-221214	APOBEC3	Outbreak NYC	56
MPX001030-NYC-VH00422-221214	NON-APOBEC	Outbreak NYC	10
MPX001031-NYC-VH00422-221214	APOBEC3	Outbreak NYC	56
MPX001031-NYC-VH00422-221214	NON-APOBEC	Outbreak NYC	9
MPX001032-NYC-VH00422-221214	APOBEC3	Outbreak NYC	55
MPX001032-NYC-VH00422-221214	NON-APOBEC	Outbreak NYC	9
MPX001033-NYC-VH00422-221214	APOBEC3	Outbreak NYC	57
MPX001033-NYC-VH00422-221214	NON-APOBEC	Outbreak NYC	10
MPX001034-NYC-VH00422-230123	APOBEC3	Outbreak NYC	55
MPX001034-NYC-VH00422-230123	NON-APOBEC	Outbreak NYC	9
MPX001035-NYC-VH00422-221214	APOBEC3	Outbreak NYC	55
MPX001035-NYC-VH00422-221214	NON-APOBEC	Outbreak NYC	9
MPX001037-NYC-VH00422-221214	APOBEC3	Outbreak NYC	56
MPX001037-NYC-VH00422-221214	NON-APOBEC	Outbreak NYC	9
MPX001039-NYC-VH00422-221214	APOBEC3	Outbreak NYC	57
MPX001039-NYC-VH00422-221214	NON-APOBEC	Outbreak NYC	10
MPX001040-NYC-VH00422-230123	APOBEC3	Outbreak NYC	57
MPX001040-NYC-VH00422-230123	NON-APOBEC	Outbreak NYC	10
MPX001041-NYC-VH00422-221214	APOBEC3	Outbreak NYC	56
MPX001041-NYC-VH00422-221214	NON-APOBEC	Outbreak NYC	9
MPX001043-NYC-VH00422-221214	APOBEC3	Outbreak NYC	53
MPX001043-NYC-VH00422-221214	NON-APOBEC	Outbreak NYC	10
MPX001045-NYC-VH00422-221214	APOBEC3	Outbreak NYC	53
MPX001045-NYC-VH00422-221214	NON-APOBEC	Outbreak NYC	10
MPX001046-NYC-VH00422-221214	APOBEC3	Outbreak NYC	55
MPX001046-NYC-VH00422-221214	NON-APOBEC	Outbreak NYC	9
MPX001047-NYC-VH00422-221214	APOBEC3	Outbreak NYC	55
MPX001047-NYC-VH00422-221214	NON-APOBEC	Outbreak NYC	9
MPX001048-NYC-VH00422-221214	APOBEC3	Outbreak NYC	56
MPX001048-NYC-VH00422-221214	NON-APOBEC	Outbreak NYC	9
MPX001049-NYC-VH00422-221214	APOBEC3	Outbreak NYC	56
MPX001049-NYC-VH00422-221214	NON-APOBEC	Outbreak NYC	9
MPX001050-NYC-VH00422-221214	APOBEC3	Outbreak NYC	56
MPX001050-NYC-VH00422-221214	NON-APOBEC	Outbreak NYC	9
MPX001051-NYC-VH00422-221214	APOBEC3	Outbreak NYC	57
MPX001051-NYC-VH00422-221214	NON-APOBEC	Outbreak NYC	9
MPX001052-NYC-VH00422-221214	APOBEC3	Outbreak NYC	57
MPX001052-NYC-VH00422-221214	NON-APOBEC	Outbreak NYC	11
MPX001053-NYC-VH00422-221214	APOBEC3	Outbreak NYC	58
MPX001053-NYC-VH00422-221214	NON-APOBEC	Outbreak NYC	12
MPX001054-NYC-VH00422-221214	APOBEC3	Outbreak NYC	57
MPX001054-NYC-VH00422-221214	NON-APOBEC	Outbreak NYC	11
MPX001055-NYC-VH00422-221214	APOBEC3	Outbreak NYC	55
MPX001055-NYC-VH00422-221214	NON-APOBEC	Outbreak NYC	8
MPX001056-NYC-VH00422-221214	APOBEC3	Outbreak NYC	54
MPX001056-NYC-VH00422-221214	NON-APOBEC	Outbreak NYC	9
MPX001057-NYC-VH00422-221214	APOBEC3	Outbreak NYC	54
MPX001057-NYC-VH00422-221214	NON-APOBEC	Outbreak NYC	9
MPX001058-NYC-VH00422-221214	APOBEC3	Outbreak NYC	55
MPX001058-NYC-VH00422-221214	NON-APOBEC	Outbreak NYC	10
MPX001059-NYC-VH00422-230123	APOBEC3	Outbreak NYC	54
MPX001059-NYC-VH00422-230123	NON-APOBEC	Outbreak NYC	10
MPX001060-NYC-VH00422-221214	APOBEC3	Outbreak NYC	57
MPX001060-NYC-VH00422-221214	NON-APOBEC	Outbreak NYC	11
MPX001061-NYC-VH00422-221214	APOBEC3	Outbreak NYC	56
MPX001061-NYC-VH00422-221214	NON-APOBEC	Outbreak NYC	10
MPX001062-NYC-VH00422-221214	APOBEC3	Outbreak NYC	53
MPX001062-NYC-VH00422-221214	NON-APOBEC	Outbreak NYC	9
MPX001063-NYC-VH00422-221214	APOBEC3	Outbreak NYC	56
MPX001063-NYC-VH00422-221214	NON-APOBEC	Outbreak NYC	10
MPX001064-NYC-VH00422-221214	APOBEC3	Outbreak NYC	56
MPX001064-NYC-VH00422-221214	NON-APOBEC	Outbreak NYC	9
MPX001065-NYC-VH00422-221214	APOBEC3	Outbreak NYC	58
MPX001065-NYC-VH00422-221214	NON-APOBEC	Outbreak NYC	9
MPX001066-NYC-VH00422-221214	APOBEC3	Outbreak NYC	53
MPX001066-NYC-VH00422-221214	NON-APOBEC	Outbreak NYC	9
MPX001067-NYC-VH00422-221214	APOBEC3	Outbreak NYC	56
MPX001067-NYC-VH00422-221214	NON-APOBEC	Outbreak NYC	10
MPX001068-NYC-VH00422-221214	APOBEC3	Outbreak NYC	54
MPX001068-NYC-VH00422-221214	NON-APOBEC	Outbreak NYC	10
MPX001069-NYC-VH00422-221214	APOBEC3	Outbreak NYC	60
MPX001069-NYC-VH00422-221214	NON-APOBEC	Outbreak NYC	10
MPX001070-NYC-VH00422-221214	APOBEC3	Outbreak NYC	59
MPX001070-NYC-VH00422-221214	NON-APOBEC	Outbreak NYC	10
MPX001071-NYC-VH00422-221214	APOBEC3	Outbreak NYC	58
MPX001071-NYC-VH00422-221214	NON-APOBEC	Outbreak NYC	9
MPX001072-NYC-VH00422-221214	APOBEC3	Outbreak NYC	57
MPX001072-NYC-VH00422-221214	NON-APOBEC	Outbreak NYC	11
MPX001073-NYC-VH00422-221214	APOBEC3	Outbreak NYC	54
MPX001073-NYC-VH00422-221214	NON-APOBEC	Outbreak NYC	9
MPX001074-NYC-VH00422-221214	APOBEC3	Outbreak NYC	56
MPX001074-NYC-VH00422-221214	NON-APOBEC	Outbreak NYC	9
MPX001075-NYC-VH00422-221214	APOBEC3	Outbreak NYC	57
MPX001075-NYC-VH00422-221214	NON-APOBEC	Outbreak NYC	11
MPX001076-NYC-VH00422-221214	APOBEC3	Outbreak NYC	57
MPX001076-NYC-VH00422-221214	NON-APOBEC	Outbreak NYC	9
MPX001077-NYC-VH00422-221214	APOBEC3	Outbreak NYC	54
MPX001077-NYC-VH00422-221214	NON-APOBEC	Outbreak NYC	10
MPX001078-NYC-VH00422-221214	APOBEC3	Outbreak NYC	56
MPX001078-NYC-VH00422-221214	NON-APOBEC	Outbreak NYC	10
MPX001079-NYC-VH00422-221214	APOBEC3	Outbreak NYC	57
MPX001079-NYC-VH00422-221214	NON-APOBEC	Outbreak NYC	9
MPX001080-NYC-VH00422-221214	APOBEC3	Outbreak NYC	57
MPX001080-NYC-VH00422-221214	NON-APOBEC	Outbreak NYC	9
MPX001081-NYC-VH00422-221214	APOBEC3	Outbreak NYC	53
MPX001081-NYC-VH00422-221214	NON-APOBEC	Outbreak NYC	9
MPX001082-NYC-VH00422-221214	APOBEC3	Outbreak NYC	54
MPX001082-NYC-VH00422-221214	NON-APOBEC	Outbreak NYC	10
MPX001083-NYC-VH00422-221214	APOBEC3	Outbreak NYC	56
MPX001083-NYC-VH00422-221214	NON-APOBEC	Outbreak NYC	11
MPX001084-NYC-VH00422-221214	APOBEC3	Outbreak NYC	55
MPX001084-NYC-VH00422-221214	NON-APOBEC	Outbreak NYC	9
MPX001085-NYC-VH00422-221214	APOBEC3	Outbreak NYC	54
MPX001085-NYC-VH00422-221214	NON-APOBEC	Outbreak NYC	9
MPX001086-NYC-VH00422-221214	APOBEC3	Outbreak NYC	55
MPX001086-NYC-VH00422-221214	NON-APOBEC	Outbreak NYC	11
MPX001087-NYC-VH00422-221214	APOBEC3	Outbreak NYC	55
MPX001087-NYC-VH00422-221214	NON-APOBEC	Outbreak NYC	9
MPX001088-NYC-VH00422-221214	APOBEC3	Outbreak NYC	55
MPX001088-NYC-VH00422-221214	NON-APOBEC	Outbreak NYC	9
MPX001089-NYC-VH00422-221214	APOBEC3	Outbreak NYC	60
MPX001089-NYC-VH00422-221214	NON-APOBEC	Outbreak NYC	9
MPX001090-NYC-VH00422-221214	APOBEC3	Outbreak NYC	54
MPX001090-NYC-VH00422-221214	NON-APOBEC	Outbreak NYC	10
MPX001091-NYC-VH00422-221214	APOBEC3	Outbreak NYC	58
MPX001091-NYC-VH00422-221214	NON-APOBEC	Outbreak NYC	10
MPX001092-NYC-VH00422-221214	APOBEC3	Outbreak NYC	54
MPX001092-NYC-VH00422-221214	NON-APOBEC	Outbreak NYC	10
MPX001093-NYC-VH00422-221214	APOBEC3	Outbreak NYC	55
MPX001093-NYC-VH00422-221214	NON-APOBEC	Outbreak NYC	9
MPX001094-NYC-VH00422-221214	APOBEC3	Outbreak NYC	59
MPX001094-NYC-VH00422-221214	NON-APOBEC	Outbreak NYC	10
MPX001095-NYC-VH00422-221214	APOBEC3	Outbreak NYC	55
MPX001095-NYC-VH00422-221214	NON-APOBEC	Outbreak NYC	9
MPX001096-NYC-VH00422-221214	APOBEC3	Outbreak NYC	58
MPX001096-NYC-VH00422-221214	NON-APOBEC	Outbreak NYC	10
MPX001097-NYC-VH00422-221214	APOBEC3	Outbreak NYC	59
MPX001097-NYC-VH00422-221214	NON-APOBEC	Outbreak NYC	10
MPX001098-NYC-VH00422-221214	APOBEC3	Outbreak NYC	60
MPX001098-NYC-VH00422-221214	NON-APOBEC	Outbreak NYC	10
MPX001099-NYC-VH00422-221214	APOBEC3	Outbreak NYC	56
MPX001099-NYC-VH00422-221214	NON-APOBEC	Outbreak NYC	9
MPX001100-NYC-VH00422-221214	APOBEC3	Outbreak NYC	56
MPX001100-NYC-VH00422-221214	NON-APOBEC	Outbreak NYC	9
MPX001101-NYC-VH00422-221214	APOBEC3	Outbreak NYC	60
MPX001101-NYC-VH00422-221214	NON-APOBEC	Outbreak NYC	9
MPX001102-NYC-VH00422-221214	APOBEC3	Outbreak NYC	61
MPX001102-NYC-VH00422-221214	NON-APOBEC	Outbreak NYC	9
MPX001103-NYC-VH00422-221214	APOBEC3	Outbreak NYC	61
MPX001103-NYC-VH00422-221214	NON-APOBEC	Outbreak NYC	9
MPX001104-NYC-VH00422-221214	APOBEC3	Outbreak NYC	55
MPX001104-NYC-VH00422-221214	NON-APOBEC	Outbreak NYC	10
MPX001105-NYC-VH00422-221214	APOBEC3	Outbreak NYC	54
MPX001105-NYC-VH00422-221214	NON-APOBEC	Outbreak NYC	10
MPX001106-NYC-VH00422-221214	APOBEC3	Outbreak NYC	54
MPX001106-NYC-VH00422-221214	NON-APOBEC	Outbreak NYC	10
MPX001107-NYC-VH00422-221214	APOBEC3	Outbreak NYC	54
MPX001107-NYC-VH00422-221214	NON-APOBEC	Outbreak NYC	10
MPX001108-NYC-VH00422-221214	APOBEC3	Outbreak NYC	59
MPX001108-NYC-VH00422-221214	NON-APOBEC	Outbreak NYC	9
MPX001109-NYC-VH00422-221214	APOBEC3	Outbreak NYC	56
MPX001109-NYC-VH00422-221214	NON-APOBEC	Outbreak NYC	10
MPX001111-NYC-VH00422-221214	APOBEC3	Outbreak NYC	57
